Player,Team,Position,Value,APY,Guaranteed,"APY% Of
Cap","Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Shaun Chapas,Cowboys,RB,2070000,517500,0,0.40,3865720,966430,0
Evan Royster,Commanders,RB,2040000,510000,0,0.40,3809695,952424,0
Jamaal Charles,Chiefs,RB,27000000,5400000,10000000,4.20,47051163,9410233,17426357
C.J. Spiller,Bills,RB,24304587,4860917,20000000,3.80,42354040,8470807,34852713
Ryan Mathews,Chargers,RB,17786250,3557250,13366250,2.80,30994953,6198991,23292504
Toby Gerhart,Vikings,RB,3766500,941625,1939000,0.70,6563637,1640909,3378971
James Starks,Packers,RB,1890300,472575,100300,0.40,3294104,823526,174786
Knowshon Moreno,Broncos,RB,17075000,3415000,13125000,2.80,31206992,6241398,23987805
Donald Brown,Colts,RB,9635000,1927000,6310000,1.60,17609333,3521867,11532423
Chris Wells,Cardinals,RB,9000000,1800000,6345000,1.50,16448780,3289756,11596390
James Casey,Eagles,RB,12000000,4000000,6015000,3.30,21931707,7310569,10993268
Steven Jackson,Falcons,RB,12000000,4000000,4000000,3.30,21931707,7310569,7310569
Reggie Bush,Lions,RB,16000000,4000000,4000000,3.30,29242276,7310569,7310569
Shonn Greene,Titans,RB,10000000,3333333,4500000,2.70,18276423,6092140,8224390
DeAngelo Williams,Panthers,RB,10000000,3333333,4000000,2.70,18276423,6092140,7310569
Rashard Mendenhall,Cardinals,RB,2500000,2500000,2500000,2.00,4569106,4569106,4569106
Andre Brown,Giants,RB,2023000,2023000,0,1.60,3697320,3697320,0
Ahmad Bradshaw,Colts,RB,2000000,2000000,250000,1.60,3655285,3655285,456911
Chris Ivory,Jets,RB,6000000,2000000,2250000,1.60,10965854,3655285,4112195
LeGarrette Blount,Buccaneers,RB,1750000,1750000,0,1.40,3198374,3198374,0
Danny Woodhead,Chargers,RB,3500000,1750000,1000000,1.40,6396748,3198374,1827642
Giovani Bernard,Bengals,RB,5253340,1313335,3249400,1.10,9601226,2400307,5938741
Justin Forsett,Jaguars,RB,2300000,1150000,300000,0.90,4203577,2101789,548293
Le'Veon Bell,Steelers,RB,4120600,1030150,1376800,0.80,7530983,1882746,2516298
Montee Ball,Broncos,RB,3464326,866082,1629512,0.70,6331549,1582888,2978165
Eddie Lacy,Packers,RB,3392412,848103,1042208,0.70,6200116,1550029,1904783
Christine Michael,DAL/SEA,RB,3374430,843608,1014132,0.70,6167251,1541814,1853471
Knile Davis,NYJ/GB/KC,RB,2741016,685254,506016,0.60,5009597,1252399,924816
LeGarrette Blount,Patriots,RB,680000,680000,0,0.60,1242797,1242797,0
Johnathan Franklin,Packers,RB,2565468,641367,405468,0.50,4688758,1172189,741050
Joique Bell,Lions,RB,630000,630000,0,0.50,1151415,1151415,0
Rashad Jennings,Raiders,RB,630000,630000,0,0.50,1151415,1151415,0
Marcus Lattimore,49ers,RB,2460584,615146,300584,0.50,4497067,1124267,549360
Delone Carter,Jaguars,RB,1200000,600000,0,0.50,2193171,1096585,0
Stepfan Taylor,Cardinals,RB,2360500,590125,200500,0.50,4314150,1078537,366442
Joseph Randle,Cowboys,RB,2348880,587220,0,0.50,4292912,1073228,0
Chris Thompson,Commanders,RB,2345000,586250,185000,0.50,4285821,1071455,338114
Zac Stacy,NYJ/LAR,RB,2336500,584125,176500,0.50,4270286,1067572,322579
Mike Gillislee,Dolphins,RB,2322800,580700,162800,0.50,4245247,1061312,297540
Kenjon Barner,CAR/PHI,RB,2265800,566450,105800,0.50,4141072,1035268,193365
Andre Ellington,Cardinals,RB,2263864,565966,103864,0.50,4137534,1034383,189826
Mike James,Buccaneers,RB,2263152,565788,103152,0.50,4136232,1034058,188525
Rex Burkhead,Bengals,RB,2262200,565550,102200,0.50,4134492,1033623,186785
Spencer Ware,Seahawks,RB,2257432,564358,97432,0.50,4125778,1031445,178071
Theo Riddick,Lions,RB,2251000,562750,91000,0.50,4114023,1028506,166315
Owen Marecic,49ers,RB,555000,555000,0,0.50,1014341,1014341,0
Anthony Allen,Ravens,RB,555000,555000,0,0.50,1014341,1014341,0
Da'Rel Scott,Giants,RB,555000,555000,0,0.50,1014341,1014341,0
Jawan Jamison,Commanders,RB,2210880,552720,50880,0.40,4040698,1010174,92990
Kerwynn Williams,Colts,RB,2209824,552456,49824,0.40,4038768,1009692,91060
Michael Cox,Giants,RB,2205896,551474,45896,0.40,4031589,1007897,83881
Latavius Murray,Raiders,RB,2191200,547800,106200,0.40,4004730,1001182,194096
Kerwynn Williams,Colts,RB,2160000,540000,0,0.40,3947707,986927,0
Dan Herron,Colts,RB,1050000,525000,0,0.40,1919024,959512,0
Evan Rodriguez,Bills,RB,1050000,525000,0,0.40,1919024,959512,0
Chris Rainey,Colts,RB,1050000,525000,0,0.40,1919024,959512,0
C.J. Anderson,Broncos,RB,1497500,499167,12500,0.40,2736894,912299,22846
Jawan Jamison,Commanders,RB,1485000,495000,0,0.40,2714049,904683,0
Edwin Baker,Browns,RB,1485000,495000,0,0.40,2714049,904683,0
Baron Batch,Steelers,RB,480000,480000,0,0.40,877268,877268,0
Drake Dunsmore,Buccaneers,RB,900000,450000,0,0.40,1644878,822439,0
Ryan Grant,GB/WAS,RB,750000,750000,0,0.60,1398010,1398010,0
Justin Forsett,Texans,RB,715000,715000,0,0.60,1332769,1332769,0
Chris Ivory,Saints,RB,612900,612900,72900,0.50,1142454,1142454,135887
LeGarrette Blount,Buccaneers,RB,540000,540000,0,0.40,1006567,1006567,0
Johnny White,Packers,RB,465000,465000,0,0.40,866766,866766,0
Andre Brown,Giants,RB,465000,465000,0,0.40,866766,866766,0
Baron Batch,Steelers,RB,465000,465000,0,0.40,866766,866766,0
Anthony Allen,Ravens,RB,465000,465000,0,0.40,866766,866766,0
Johnny White,Bills,RB,465000,465000,0,0.40,866766,866766,0
Reggie Bush,Dolphins,RB,9750000,4875000,2500000,4.00,18208100,9104050,4668744
Joique Bell,Lions,RB,990000,495000,0,0.40,1848822,924411,0
Joique Bell,Saints,RB,955000,477500,60000,0.40,1783460,891730,112050
Jordan Todman,Vikings,RB,1395000,465000,0,0.40,2605159,868386,0
Maurice Jones-Drew,Jaguars,RB,30515000,7628750,9000000,6.20,55770504,13942626,16448780
Fred Jackson,Bills,RB,7500000,1875000,1750000,1.50,13707317,3426829,3198374
LeSean McCoy,Eagles,RB,3477123,869281,1727123,0.70,6354937,1588735,3156563
Shonn Greene,Jets,RB,2655000,663750,905000,0.50,4852390,1213098,1654016
Andre Brown,NYG/DEN,RB,2180000,545000,430000,0.40,3984260,996065,785886
Rashad Jennings,Jaguars,RB,1788450,447113,38450,0.40,3268647,817163,70273
Case Keenum,Texans,QB,96900,96900,0,0.1,180623,180623,0
Chandler Harnish,Colts,QB,96900,96900,0,0.1,180623,180623,0
B.J. Coleman,Packers,QB,96900,96900,0,0.1,180623,180623,0
Chandler Harnish,Colts,QB,2145896,536474,45896,0.4,3999979,999995,85551
B.J. Coleman,Packers,QB,2145896,536474,45896,0.4,3999979,999995,85551
Case Keenum,Texans,QB,1452000,484000,12000,0.4,2706547,902182,22368
Austin Davis,Rams,QB,1445000,481667,17500,0.4,2693499,897834,32620
Nathan Enderle,Jaguars,QB,465000,465000,0,0.4,866766,866766,0
Kirk Cousins,Commanders,QB,2572688,643172,472688,0.5,4795525,1198881,881097
Brian Hoyer,PIT/ARI,QB,615000,615000,0,0.5,1146368,1146368,0
Ryan Lindley,Cardinals,QB,2205308,551327,105308,0.5,4110723,1027681,196296
Russell Wilson,Seahawks,QB,2996774,749194,619472,0.6,5586026,1396508,1154704
Josh Johnson,Browns,QB,700000,700000,0,0.6,1304809,1304809,0
Nick Foles,Eagles,QB,2768520,692130,543520,0.6,5160558,1290140,1013128
Derek Anderson,Panthers,QB,890000,890000,65000,0.7,1658972,1658972,121161
Brock Osweiler,Broncos,QB,3516678,879170,997584,0.7,6555134,1638785,1859510
Josh McCown,Bears,QB,875000,875000,25000,0.7,1631012,1631012,46600
Josh McCown,Bears,QB,825000,825000,0,0.7,1537811,1537811,0
Luke McCown,NO/ATL,QB,825000,825000,0,0.7,1537811,1537811,0
Chase Daniel,Saints,QB,1000000,1000000,300000,0.8,1864013,1864013,559204
David Carr,Giants,QB,990000,990000,165000,0.8,1845373,1845373,307562
Josh Johnson,49ers,QB,2115000,1057500,350000,0.9,3942388,1971194,652405
Drew Stanton,IND/NYJ,QB,1250000,1250000,500000,1.0,2330017,2330017,932007
Charlie Whitehurst,Chargers,QB,3050000,1525000,1000000,1.3,5685240,2842620,1864013
Brian Hoyer,Patriots,QB,1927000,1927000,0,1.6,3591954,3591954,0
Brandon Weeden,Browns,QB,8083596,2020899,7511288,1.7,15067930,3766983,14001140
Tim Tebow,Jets,QB,6054375,2018125,2531875,1.7,11285435,3761812,4719449
Shaun Hill,Lions,QB,5500000,2750000,1000000,2.3,10252073,5126036,1864013
Ryan Tannehill,Dolphins,QB,12668512,3167128,12668512,2.6,23614274,5903569,23614274
Chad Henne,Jaguars,QB,6750000,3375000,4075000,2.8,12582090,6291045,7595854
Kyle Orton,Cowboys,QB,10500000,3500000,5000000,2.9,19572139,6524046,9320066
Jason Campbell,Bears,QB,3500000,3500000,2000000,2.9,6524046,6524046,3728027
Robert Griffin III,Commanders,QB,21119098,5279775,21119098,4.4,39366279,9841571,39366279
Andrew Luck,Colts,QB,22107998,5527000,22107998,4.6,41209602,10302401,41209602
Matt Flynn,Seahawks,QB,19500000,6500000,10000000,5.4,36348259,12116086,18640133
Alex Smith,KC/SF,QB,24000000,8000000,15500000,6.6,44736318,14912106,28892206
Mark Sanchez,Jets,QB,40475000,13491667,19500000,11.2,75445937,25148646,36348259
Matt Schaub,Texans,QB,62000000,15500000,24250000,12.9,115568823,28892206,45202322
Peyton Manning,Broncos,QB,96000000,19200000,58000000,15.9,178945274,35789055,108112769
Drew Brees,Saints,QB,100000000,20000000,60500000,16.6,186401327,37280265,112772803
Tyrod Taylor,Ravens,QB,2145308,536327,105308,0.4,4006357,1001589,196662
Greg McElroy,Jets,QB,2105152,526288,65152,0.4,3931366,982841,121671
Ricky Stanzi,Chiefs,QB,2251052,562763,211052,0.5,4203834,1050958,394139
T.J. Yates,HOU/ATL,QB,2225000,556250,185000,0.5,4155182,1038795,345487
Nathan Enderle,Bears,QB,2208860,552215,168860,0.5,4125040,1031260,315346
Ryan Mallett,HOU/NE,QB,2947828,736957,1018876,0.6,5505061,1376265,1902748
Andy Dalton,Bengals,QB,5214198,1303550,4028171,1.1,9737501,2434376,7522599
Colin Kaepernick,49ers,QB,5124296,1281074,3800000,1.1,9569609,2392402,7096490
Christian Ponder,Vikings,QB,10158698,2539675,10158698,2.1,18971342,4742836,18971342
Matt Moore,Dolphins,QB,5025000,2512500,1500000,2.1,9384174,4692087,2801246
Blaine Gabbert,JAX/SF,QB,12001646,3000412,12001646,2.5,22413043,5603262,22413043
Jake Locker,Titans,QB,12586002,3146501,12586002,2.6,23504326,5876082,23504326
Cam Newton,Panthers,QB,22025498,5506375,22025498,4.6,41132560,10283141,41132560
Matt Hasselbeck,Titans,QB,20000000,6666667,6000000,5.5,37349948,12449983,11204984
Ryan Fitzpatrick,Bills,QB,59000000,9833333,24000000,8.2,110182347,18363724,44819938
Carson Palmer,Raiders,QB,43000000,10750000,5000000,8.9,80302388,20075597,9337487
Kevin Kolb,Cardinals,QB,62108000,12421600,20000000,10.3,115986529,23197306,37349948
Michael Vick,Eagles,QB,80000000,16000000,35500000,13.3,149399792,29879958,66296158
Peyton Manning,Colts,QB,90000000,18000000,20000000,15.0,168074766,33614953,37349948
Joe Webb,Vikings,QB,2032515,508129,0,0.4,3541933,885484,0
Colt McCoy,Browns,QB,2541000,635250,751000,0.5,4428037,1107009,1308719
Tim Tebow,Broncos,QB,11250000,2250000,7690000,1.7,19604651,3920930,13400868
Shaun Hill,Lions,QB,10760000,3586667,1091750,2.8,18750760,6250254,1902522
Sam Bradford,Rams,QB,78000000,13000000,50000000,10.1,135925581,22654264,87131783
Donovan McNabb,Commanders,QB,74250000,14850000,18081250,11.5,129390698,25878140,31509031
Tom Brady,Patriots,QB,72000000,18000000,40050000,14.0,125469767,31367442,69792558
Josh Freeman,Buccaneers,QB,13500000,2700000,9540000,2.2,24673171,4934634,17435707
Mark Sanchez,Jets,QB,47500000,9500000,28000000,7.7,86813008,17362602,51173984
Matt Cassel,Chiefs,QB,63000000,10500000,27750000,8.5,115141463,19190244,50717073
Matt Stafford,Lions,QB,72000000,12000000,41700000,9.8,131590244,21931707,76212683
Philip Rivers,Chargers,QB,91800000,15300000,38150000,12.4,167777561,27962927,69724553
Eli Manning,Giants,QB,97500000,16250000,35000000,13.2,178195122,29699187,63967480
Chandler Harnish,Colts,QB,102000,102000,0,0.1,186420,186420,0
Greg McElroy,Bengals,QB,102000,102000,0,0.1,186420,186420,0
B.J. Daniels,Seahawks,QB,102000,102000,0,0.1,186420,186420,0
Austin Davis,Dolphins,QB,102000,102000,0,0.1,186420,186420,0
Tyler Wilson,Raiders,QB,102000,102000,0,0.1,186420,186420,0
B.J. Coleman,Packers,QB,405000,405000,0,0.3,740195,740195,0
Tyler Wilson,Raiders,QB,405000,405000,0,0.3,740195,740195,0
B.J. Daniels,SF/SEA,QB,2206512,551628,46512,0.4,4032715,1008179,85007
Sean Renfree,Falcons,QB,2205896,551474,45896,0.4,4031589,1007897,83881
Chandler Harnish,Colts,QB,1060000,530000,10000,0.4,1937301,968650,18276
Nathan Enderle,Titans,QB,1050000,525000,0,0.4,1919024,959512,0
Zac Dysert,Broncos,QB,2208200,522050,48200,0.4,4035800,954121,88092
Matt McGloin,Raiders,QB,1485000,495000,0,0.4,2714049,904683,0
Tyler Wilson,Titans,QB,1485000,495000,0,0.4,2714049,904683,0
Austin Davis,Rams,QB,480000,480000,0,0.4,877268,877268,0
Nathan Enderle,Chargers,QB,480000,480000,0,0.4,877268,877268,0
Case Keenum,LAR/HOU,QB,900000,450000,0,0.4,1644878,822439,0
Ryan Nassib,Giants,QB,2613600,653400,453600,0.5,4776726,1194181,829019
Tyler Wilson,Raiders,QB,2610900,652725,450900,0.5,4771791,1192948,824084
Landry Jones,Steelers,QB,2599220,649805,439220,0.5,4750444,1187611,802737
Ricky Stanzi,Jaguars,QB,1200000,600000,0,0.5,2193171,1096585,0
Brad Sorensen,Chargers,QB,2219400,554850,59400,0.5,4056269,1014067,108562
Mike Glennon,Buccaneers,QB,3104063,776016,637500,0.6,5673117,1418280,1165122
Tim Tebow,Patriots,QB,1385000,692500,0,0.6,2531285,1265642,0
Matt Barkley,PHI/ARI,QB,2739528,684882,497028,0.6,5006877,1251719,908389
Derek Anderson,Panthers,QB,905000,905000,65000,0.7,1654016,1654016,118797
Matt Flynn,Packers,QB,1793750,896875,0,0.7,3278333,1639167,0
Josh McCown,Bears,QB,865000,865000,125000,0.7,1580911,1580911,228455
Luke McCown,Saints,QB,825000,825000,0,0.7,1507805,1507805,0
Josh Johnson,Bengals,QB,1895000,947500,150000,0.8,3463382,1731691,274146
David Carr,Giants,QB,1050000,1050000,165000,0.9,1919024,1919024,301561
Geno Smith,Jets,QB,5019603,1254901,767196,1.0,9174039,2293510,1402160
Jason Campbell,Browns,QB,3750000,1875000,500000,1.5,6853659,3426829,913821
Brian Hoyer,Cardinals,QB,2023000,2023000,0,1.6,3697320,3697320,0
E.J. Manuel,Bills,QB,8885300,2221325,8885300,1.8,16239150,4059787,16239150
Josh Freeman,Vikings,QB,2833334,2833334,0,2.3,5178321,5178321,0
Kevin Kolb,Bills,QB,6100000,3050000,1000000,2.5,11148618,5574309,1827642
Ryan Fitzpatrick,Titans,QB,6500000,3250000,3250000,2.6,11879675,5939837,5939837
Chase Daniel,Chiefs,QB,10000000,3333333,4000000,2.7,18276423,6092140,7310569
Matt Hasselbeck,Colts,QB,7250000,3625000,3000000,2.9,13250407,6625203,5482927
Matt Cassel,Vikings,QB,3700000,3700000,2000000,3.0,6762276,6762276,3655285
Matt Moore,Dolphins,QB,8000000,4000000,4000000,3.3,14621138,7310569,7310569
Matt Flynn,Raiders,QB,11500000,5750000,6500000,4.7,21017886,10508943,11879675
Michael Vick,Eagles,QB,7500000,7500000,3500000,6.1,13707317,13707317,6396748
Carson Palmer,Cardinals,QB,17000000,8500000,10000000,6.9,31069919,15534959,18276423
Tom Brady,Patriots,QB,57000000,11400000,57000000,9.3,104175610,20835122,104175610
Matt Stafford,Lions,QB,53000000,17666667,41500000,14.4,96865041,32288347,75847154
Tony Romo,Cowboys,QB,108000000,18000000,55000000,14.6,197385366,32897561,100520325
Joe Flacco,Ravens,QB,120600000,20100000,51000000,16.3,220413659,36735610,93209756
Matt Ryan,Falcons,QB,103750000,20750000,59000000,16.9,189617886,37923577,107830894
Aaron Rodgers,Packers,QB,110000000,22000000,54000000,17.9,201040650,40208130,98692683
Calvin Johnson,Lions,WR,113450000,16207143,53250000,13.4,211472305,30210330,99258706
Vincent Jackson,Buccaneers,WR,55555555,11111111,26000000,9.2,103556292,20711258,48464345
DeSean Jackson,Eagles,WR,48500000,9700000,18000000,8,90404643,18080929,33552239
Wes Welker,Patriots,WR,9515000,9515000,9515000,7.9,17736086,17736086,17736086
Dwayne Bowe,Chiefs,WR,9515000,9515000,9515000,7.9,17736086,17736086,17736086
Pierre Garcon,Commanders,WR,42500000,8500000,20500000,7,79220564,15844113,38212272
Antonio Brown,Steelers,WR,41960000,8392000,8500000,7,78213997,15642799,15844113
Steve Smith,Panthers,WR,30000000,7500000,16750000,6.2,55920398,13980100,31222222
Marques Colston,Saints,WR,36300000,7260000,17700000,6,67663682,13532736,32993035
Steve Johnson,BUF/SF,WR,36250000,7250000,18050000,6,67570481,13514096,33645439
Reggie Wayne,Colts,WR,17500000,5833333,7500000,4.8,32620232,10873410,13980100
Josh Morgan,Commanders,WR,11500000,5750000,7300000,4.8,21436153,10718076,13607297
Justin Blackmon,Jaguars,WR,18512010,4628003,18512010,3.8,34506632,8626659,34506632
Eddie Royal,Chargers,WR,13500000,4500000,6000000,3.7,25164179,8388060,11184080
Malcom Floyd,Chargers,WR,11550000,3850000,5250000,3.2,21529353,7176451,9786070
Michael Floyd,ARI/NE,WR,17291500,3458300,9971500,2.9,32231585,6446317,18587008
Jacoby Jones,Ravens,WR,6500000,3250000,1800000,2.7,12116086,6058043,3355224
Harry Douglas,Falcons,WR,12500000,3125000,4500000,2.6,23300166,5825041,8388060
Kendall Wright,Titans,WR,15538452,3107690,14911754,2.6,28963881,5792775,27795707
Mike Wallace,Steelers,WR,2742000,2742000,0,2.3,5111124,5111124,0
Randy Moss,49ers,WR,2500000,2500000,0,2.1,4660033,4660033,0
Jerome Simpson,Vikings,WR,2000000,2000000,0,1.7,3728027,3728027,0
Danny Amendola,Rams,WR,1927000,1927000,0,1.6,3591954,3591954,0
Matt Slater,Patriots,WR,5400000,1800000,2700000,1.5,10065672,3355224,5032836
A.J. Jenkins,Chiefs,WR,2990578,1736882,5610139,1.4,5574477,3237571,10457374
A.J. Jenkins,49ers,WR,6947529,1736882,5610139,1.4,12950286,3237571,10457374
Ted Ginn,49ers,WR,1400000,1400000,500000,1.2,2609619,2609619,932007
Brian Quick,Rams,WR,5386599,1346650,3822373,1.1,10040692,2510173,7124954
Josh Gordon,Browns,WR,5341648,1335412,3727638,1.1,9956903,2489226,6948367
Stephen Hill,Jets,WR,4712348,1178086,2861361,1,8783879,2195968,5333615
Alshon Jeffery,Bears,WR,4547830,1136958,2344235,0.9,8477215,2119305,4369685
Ryan Broyles,Lions,WR,3678500,919625,1422477,0.8,6856773,1714193,2651516
Rueben Randle,Giants,WR,3291930,822983,1007132,0.7,6136201,1534051,1877307
DeVier Posey,Jets,WR,748000,748000,0,0.6,1394282,1394282,0
DeVier Posey,Texans,WR,2962092,740523,684092,0.6,5521379,1380345,1275157
T.J. Graham,BUF/TEN,WR,2901252,725313,671252,0.6,5407972,1351993,1251223
Mohamed Sanu,Bengals,WR,2713252,678313,563252,0.6,5057538,1264384,1049909
Donnie Avery,Colts,WR,665000,665000,50000,0.6,1239569,1239569,93201
T.Y. Hilton,Colts,WR,2642400,660600,527400,0.5,4925469,1231367,983081
Devon Wylie,Chiefs,WR,2615400,653820,455400,0.5,4875140,1218729,848872
Chris Givens,BAL/LAR,WR,2597028,649257,497028,0.5,4840895,1210224,926467
Travis Benjamin,Browns,WR,2577000,644250,477000,0.5,4803562,1200891,889134
Omar Bolden,Broncos,WR,2574428,643607,474428,0.5,4798768,1199692,884340
Joe Adams,Panthers,WR,2567552,641888,467552,0.5,4785951,1196488,871523
Jarius Wright,Vikings,WR,2520108,630027,420108,0.5,4697515,1174379,783087
Keshawn Martin,Texans,WR,2512560,628140,412560,0.5,4683445,1170861,769017
Nick Toon,Saints,WR,2507612,626903,407612,0.5,4674222,1168556,759794
Greg Childs,Vikings,WR,2400584,600146,300584,0.5,4474720,1118680,560293
Brandon Marshall,Jaguars,WR,2300500,575125,200500,0.5,4288163,1072041,373735
Danny Coale,Cowboys,WR,2290052,572513,190052,0.5,4268687,1067172,354259
Marvin Jones,Bengals,WR,2262800,565700,162800,0.5,4217889,1054472,303461
Juron Criner,Raiders,WR,2244560,561140,144560,0.5,4183890,1045972,269462
B.J. Cunningham,Dolphins,WR,2206200,551550,106200,0.5,4112386,1028097,197958
Marvin McNutt,Eagles,WR,2198896,549724,98896,0.5,4098771,1024693,184343
Tommy Streeter,Ravens,WR,2194052,548513,94052,0.5,4089742,1022436,175314
LaVon Brazill,Colts,WR,2178680,544670,78680,0.5,4061088,1015272,146661
Junior Hemingway,Chiefs,WR,2161512,540378,46512,0.4,4029087,1007272,86699
Rishard Matthews,Dolphins,WR,2153612,538403,53612,0.4,4014361,1003590,99933
Toney Clemons,Steelers,WR,2149824,537456,49824,0.4,4007300,1001825,92873
Jeremy Ebert,Patriots,WR,2148200,537050,48200,0.4,4004273,1001068,89845
