"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Arian Foster",FA,"RB1","1","4","1.6","0.8","0"
"2",1,"Ray Rice",FA,"RB2","1","5","1.9","0.9","0"
"3",1,"LeSean McCoy",FA,"RB3","2","4","3.0","0.6","0"
"4",1,"Calvin Johnson",FA,"WR1","3","7","4.4","1.1","+1"
"5",2,"Aaron Rodgers",NYJ,"QB1","4","12","6.1","1.9","-1"
"6",2,"Chris Johnson",FA,"RB4","5","16","8.1","3.3","0"
"7",2,"Darren McFadden",FA,"RB5","4","21","8.4","4.5","0"
"8",2,"Matt Forte",FA,"RB6","6","22","10.8","4.6","+3"
"9",2,"Tom Brady",FA,"QB2","4","18","10.9","3.9","-1"
"10",3,"Larry Fitzgerald",FA,"WR2","6","20","12.2","3.9","+9"
"11",3,"Jimmy Graham",NO,"TE1","8","19","12.3","3.3","-1"
"12",3,"Drew Brees",FA,"QB3","8","17","12.8","3.1","-3"
"13",3,"Rob Gronkowski",FA,"TE2","11","26","17.3","5.0","0"
"14",3,"DeMarco Murray",FA,"RB7","7","37","17.4","8.7","-2"
"15",3,"Wes Welker",FA,"WR3","9","31","17.9","5.2","+11"
"16",4,"Andre Johnson",FA,"WR4","9","28","18.9","5.7","+9"
"17",4,"Roddy White",FA,"WR5","8","34","18.9","6.8","+18"
"18",4,"A.J. Green",FA,"WR6","11","33","20.6","5.9","+10"
"19",4,"Julio Jones",PHI,"WR7","8","37","21.6","7.9","-1"
"20",4,"Maurice Jones-Drew",FA,"RB8","7","49","22.1","10.1","-6"
"21",4,"Ryan Mathews",FA,"RB9","6","42","22.3","10.2","+9"
"22",4,"Brandon Marshall",FA,"WR8","14","30","22.7","4.7","+7"
"23",4,"Darren Sproles",FA,"RB10","12","44","22.8","7.5","+9"
"24",4,"Greg Jennings",FA,"WR9","16","33","25.2","5.1","+7"
"25",4,"Jamaal Charles",FA,"RB11","17","41","26.0","7.4","-9"
"26",5,"Matthew Stafford",LAR,"QB4","18","32","26.5","4.2","-5"
"27",5,"Cam Newton",FA,"QB5","13","39","27.1","6.1","-10"
"28",5,"Hakeem Nicks",FA,"WR10","16","38","27.4","5.9","+10"
"29",5,"Percy Harvin",FA,"WR11","13","38","28.3","6.2","+14"
"30",5,"Victor Cruz",FA,"WR12","15","42","29.2","6.6","+3"
"31",5,"Steven Jackson",FA,"RB12","12","52","29.7","10.0","-8"
"32",5,"Trent Richardson",FA,"RB13","14","46","30.9","9.6","-10"
"33",5,"Marshawn Lynch",FA,"RB14","13","52","31.1","11.3","-13"
"34",5,"Jordy Nelson",FA,"WR13","21","47","33.2","6.5","+5"
"35",6,"Dez Bryant",FA,"WR14","20","46","37.9","5.7","+9"
"36",6,"Fred Jackson",FA,"RB15","17","53","37.9","10.8","-12"
"37",6,"Steve Smith",FA,"WR15","32","54","38.0","5.3","+12"
"38",6,"Doug Martin",FA,"RB16","21","63","38.8","10.9","-11"
"39",6,"Marques Colston",FA,"WR16","29","63","39.0","7.3","+6"
"40",6,"Mike Wallace",FA,"WR17","23","63","39.5","10.1","+10"
"41",6,"Adrian Peterson",FA,"RB17","28","56","40.5","7.2","-26"
"42",6,"Ahmad Bradshaw",FA,"RB18","30","69","44.8","11.0","-6"
"43",6,"Jeremy Maclin",FA,"WR18","32","64","44.9","8.0","+14"
"44",6,"Antonio Brown",FA,"WR19","32","53","45.0","5.5","+10"
"45",6,"Steve Johnson",FA,"WR20","35","63","46.8","6.9","+31"
"46",6,"Miles Austin",FA,"WR21","37","74","48.9","10.4","+14"
"47",6,"Demaryius Thomas",FA,"WR22","36","71","49.0","10.1","+11"
"48",6,"Reggie Bush",FA,"RB19","37","67","49.4","8.1","-8"
"49",6,"Dwayne Bowe",FA,"WR23","34","66","49.8","10.5","+17"
"50",6,"Aaron Hernandez",FA,"TE3","38","60","50.7","5.4","-8"
"51",6,"Antonio Gates",FA,"TE4","38","60","50.7","5.9","-10"
"52",6,"Michael Vick",FA,"QB6","37","62","52.8","5.0","-5"
"53",6,"Brandon Lloyd",FA,"WR24","29","71","53.2","11.8","+8"
"54",7,"Vincent Jackson",FA,"WR25","41","70","54.0","8.6","+11"
"55",7,"Eric Decker",FA,"WR26","41","77","55.1","10.6","+13"
"56",7,"Eli Manning",FA,"QB7","46","67","56.6","5.0","-4"
"57",7,"Matt Ryan",FA,"QB8","44","74","58.5","8.3","-9"
"58",7,"Frank Gore",FA,"RB20","37","95","60.2","13.1","-21"
"59",7,"Vernon Davis",FA,"TE5","49","83","60.3","8.3","-8"
"60",7,"Tony Romo",FA,"QB9","52","76","61.0","7.1","+13"
"61",7,"Michael Turner",FA,"RB21","38","96","61.3","13.6","-27"
"62",7,"Jermichael Finley",FA,"TE6","47","81","62.2","8.3","-6"
"63",7,"Reggie Wayne",FA,"WR27","53","84","63.3","8.2","+21"
"64",7,"DeSean Jackson",FA,"WR28","44","82","63.5","8.8","+6"
"65",7,"Jason Witten",FA,"TE7","49","105","66.6","15.0","+10"
"66",7,"Philip Rivers",FA,"QB10","56","89","67.8","9.4","-3"
"67",7,"Peyton Manning",FA,"QB11","56","86","69.5","7.4","-3"
"68",7,"Jonathan Stewart",FA,"RB22","46","109","69.7","14.6","+11"
"69",7,"Torrey Smith",FA,"WR29","49","95","73.0","12.0","+5"
"70",7,"Pierre Garcon",FA,"WR30","51","89","73.8","8.8","+17"
"71",8,"Shonn Greene",FA,"RB23","58","104","74.5","11.8","-18"
"72",8,"C.J. Spiller",FA,"RB24","56","113","78.1","13.3","+6"
"73",8,"Fred Davis",FA,"TE8","59","104","78.2","9.7","+4"
"74",8,"Willis McGahee",FA,"RB25","55","112","78.5","15.7","-28"
"75",8,"Brandon Pettigrew",FA,"TE9","56","112","78.8","15.0","-4"
"76",8,"Donald Brown",FA,"RB26","53","125","79.5","18.8","-14"
"77",8,"Kenny Britt",FA,"WR31","48","126","82.9","19.9","+9"
"78",8,"Ben Roethlisberger",FA,"QB12","69","102","84.5","9.9","+13"
"79",8,"BenJarvus Green-Ellis",FA,"RB27","57","122","84.6","14.3","-24"
"80",8,"Robert Meachem",FA,"WR32","69","123","89.5","13.9","+16"
"81",8,"Darrius Heyward-Bey",FA,"WR33","66","120","90.0","12.9","+22"
"82",8,"Peyton Hillis",FA,"RB28","63","142","91.7","19.6","-13"
"83",8,"Robert Griffin III",FA,"QB13","69","145","92.0","17.6","-1"
"84",8,"Tony Gonzalez",FA,"TE10","73","114","92.0","13.1","+8"
"85",8,"Denarius Moore",FA,"WR34","77","131","92.6","14.5","+23"
"86",8,"Stevan Ridley",FA,"RB29","59","139","92.9","22.8","-14"
"87",8,"Greg Little",FA,"WR35","71","124","93.5","13.9","+33"
"88",8,"Justin Blackmon",FA,"WR36","66","142","95.8","17.6","+9"
"89",8,"Jay Cutler",FA,"QB14","70","132","96.0","17.7","+5"
"90",8,"DeAngelo Williams",FA,"RB30","75","151","96.1","18.5","-7"
"91",8,"Chris Beanie Wells",FA,"RB31","75","154","96.4","17.5","-32"
"92",9,"Santonio Holmes",FA,"WR37","81","129","97.2","12.1","+19"
"93",9,"Anquan Boldin",FA,"WR38","76","133","97.9","16.9","+16"
"94",9,"Malcom Floyd",FA,"WR39","78","135","100.0","12.7","+6"
"95",9,"Michael Crabtree",FA,"WR40","77","127","101.6","13.4","+18"
"96",9,"Isaac Redman",FA,"RB32","71","162","102.2","25.7","-29"
"97",9,"Kevin Smith",FA,"RB33","61","163","102.8","31.7","-7"
"98",9,"Jermaine Gresham",FA,"TE11","77","132","105.3","11.7","0"
"99",9,"Sidney Rice",FA,"WR41","85","141","105.5","15.3","+15"
